Tree ID,Tree Type,Status,Age (Estimated),Gender,Region
AT3001,Amber,Healthy,10,Female,Abyar 'Ali
HT3001,Helwa,Healthy,25,Female,Abyar 'Ali
HT3002,Helwa,Healthy,25,Female,Abyar 'Ali
HT3003,Helwa,Healthy,25,Female,Abyar 'Ali
HT3004,Helwa,Healthy,25,Female,Abyar 'Ali
JT3001,Ajwa,Healthy,25,Male,Abyar 'Ali
KT3001,Sukkari,Healthy,25,Female,Abyar 'Ali
QT3001,Saqi,Healthy,25,Female,Abyar 'Ali
WT3001,Safawi,Healthy,25,Female,Abyar 'Ali
WT3002,Safawi,Healthy,25,Female,Abyar 'Ali
WT3003,Safawi,Healthy,25,Female,Abyar 'Ali
WT3004,Safawi,Healthy,25,Female,Abyar 'Ali
JT2001,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2002,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2003,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2004,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2005,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2006,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2007,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2008,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2009,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2010,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2011,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2012,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2013,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2014,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2015,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2016,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2017,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2018,Ajwa,Healthy,17,Female,Abyar 'Ali
JT2019,Ajwa,Healthy,8,Female,Abyar 'Ali
JT2020,Ajwa,Healthy,8,Female,Abyar 'Ali
JT2021,Ajwa,Healthy,17,Male,Abyar 'Ali
BT4001,Barhi,Healthy,37,Female,Quba Area
BT4002,Barhi,Healthy,37,Female,Quba Area
BT4003,Barhi,Healthy,37,Female,Quba Area
BT5001,Barhi,Healthy,25,Female,Quba Area
WT5001,Safawi,Healthy,40,Female,Quba Area
WT5002,Safawi,Healthy,40,Female,Quba Area
JT5001,Ajwa,Healthy,25,Female,Quba Area
JT5002,Ajwa,Healthy,22,Female,Quba Area
JT5003,Ajwa,Healthy,25,Female,Quba Area
JT5004,Ajwa,Healthy,25,Female,Quba Area
JT5005,Ajwa,Healthy,3,Female,Quba Area
JT5006,Ajwa,Healthy,25,Female,Quba Area
JT5007,Ajwa,Healthy,27,Female,Quba Area
JT5008,Ajwa,Healthy,3,Female,Quba Area